iter	Passed	Remaining
401	19013	28283
402	19057	28231
403	19096	28172
404	19144	28126
405	19192	28079
406	19248	28045
407	19298	28002
408	19347	27956
409	19394	27909
410	19441	27861
411	19490	27816
412	19537	27768
413	19590	27729
414	19653	27704
415	19701	27657
416	19737	27595
417	19785	27548
418	19827	27493
419	19878	27451
420	19933	27414
421	19982	27368
422	20033	27326
423	20072	27268
424	20120	27222
425	20171	27179
426	20217	27129
427	20270	27090
428	20316	27041
429	20362	26992
430	20402	26934
431	20443	26878
432	20494	26836
433	20533	26779
434	20575	26724
435	20616	26669
436	20655	26610
437	20700	26560
438	20743	26508
439	20790	26460
440	20833	26407
441	20875	26354
442	20925	26310
443	20975	26266
444	21023	26220
445	21070	26172
446	21115	26122
447	21161	26074
448	21205	26022
449	21247	25968
450	21290	25916
451	21329	25859
452	21367	25801
453	21403	25740
454	21452	25695
455	21496	25645
456	21540	25594
457	21578	25535
458	21629	25494
459	21683	25454
460	21738	25416
461	21781	25364
462	21824	25312
463	21870	25263
464	21914	25213
465	21955	25159
466	21995	25104
467	22047	25062
468	22097	25018
469	22147	24974
470	22194	24927
471	22240	24879
472	22285	24830
473	22329	24778
474	22375	24730
475	22426	24688
476	22493	24663
477	22556	24633
478	22612	24595
479	22654	24542
480	22702	24496
481	22740	24438
482	22782	24385
483	22825	24334
484	22868	24282
485	22908	24228
486	22949	24175
487	22986	24116
488	23029	24065
489	23075	24017
490	23120	23967
491	23161	23915
492	23211	23870
493	23256	23821
494	23301	23772
495	23338	23714
496	23379	23661
497	23421	23609
498	23465	23559
499	23512	23512
500	23557	23463
501	23601	23413
502	23651	23369
503	23699	23323
504	23748	23278
505	23791	23226
506	23824	23167
507	23869	23117
508	23912	23066
509	23954	23015
510	23999	22965
511	24045	22917
512	24085	22865
513	24129	22814
514	24172	22764
515	24215	22714
516	24258	22663
517	24298	22610
518	24341	22559
519	24380	22504
520	24426	22457
521	24472	22409
522	24517	22361
523	24564	22314
524	24608	22264
525	24652	22215
526	24688	22158
527	24730	22107
528	24770	22054
529	24808	21999
530	24854	21952
531	24897	21902
532	24941	21853
533	24984	21803
534	25027	21752
535	25071	21703
536	25117	21656
537	25157	21603
538	25208	21560
539	25251	21510
540	25296	21461
541	25338	21411
542	25381	21361
543	25426	21313
544	25469	21263
545	25513	21214
546	25556	21164
547	25598	21114
548	25644	21066
549	25687	21017
550	25731	20968
551	25775	20919
552	25819	20870
553	25862	20821
554	25906	20771
555	25953	20725
556	25997	20676
557	26035	20623
558	26078	20573
559	26129	20530
560	26178	20485
561	26227	20440
562	26282	20400
