iter	RMSE
0	197.965009
1	197.8993895
2	197.8385706
3	197.8017152
4	195.6588525
5	195.6211107
6	195.5830181
7	195.5558187
8	194.2088919
9	194.1776433
10	192.1832152
11	192.0868279
12	190.1825644
13	188.349235
14	188.334459
15	188.3133189
16	188.2991155
17	188.2807856
18	188.2688159
19	188.2113512
20	188.1910862
21	188.1795351
22	188.1384248
23	188.1327928
24	188.1247653
25	188.1136311
26	188.0686113
27	188.0628935
28	188.0464116
29	186.297431
30	186.2863509
31	184.9107448
32	183.8301152
33	182.1324237
34	182.1239379
35	182.1173279
36	182.1005653
37	181.2238989
38	181.2069496
39	181.1983142
40	181.1863674
41	181.1735762
42	181.167537
43	181.1548484
44	178.3776562
45	176.7615932
46	176.7556495
47	175.2059158
48	175.1946632
49	175.1878647
50	175.0370556
51	172.3063633
52	172.2964783
53	170.7937346
54	169.6227155
55	169.6121031
56	169.5320489
57	169.5257594
58	168.1332998
59	166.8022495
60	166.6757339
61	165.3989871
62	165.384376
63	165.3723715
64	165.3673072
65	165.3582335
66	165.3488423
67	165.338427
68	164.1176214
69	164.0618156
70	161.87695
71	161.8760395
72	161.86819
73	161.855184
74	161.8517534
75	160.6686097
76	160.6555926
77	160.6519028
78	160.6132879
79	159.7021458
80	159.6974481
81	159.6925127
82	159.6831715
83	159.6801188
84	158.5335887
85	157.4431365
86	157.4403248
87	156.398098
88	155.4024995
89	155.3960511
90	152.6544829
91	151.6821703
92	151.636545
93	151.6336699
94	150.7051372
95	150.6964154
96	149.8130065
97	147.6735041
98	147.6628473
99	147.6548881
100	145.0162017
101	144.1441364
102	144.1386339
103	144.1322915
104	144.1199669
105	144.1129378
106	144.0018416
107	143.9959927
108	143.1616655
109	142.365282
110	142.3581926
111	142.3460498
112	142.3386688
113	142.3320294
114	142.1679333
115	142.155655
116	142.1445606
117	142.1433287
118	139.5499021
119	138.781947
120	138.044923
121	138.031732
122	138.0290468
123	137.9992154
124	137.9673678
125	137.9647387
126	137.9613552
127	137.9522636
128	137.9420791
129	137.9365875
130	135.3968412
131	135.3898241
132	135.3855303
133	135.3822402
134	135.3796781
135	135.3761374
136	135.3738628
137	135.3704571
138	135.3620074
139	132.9045803
140	130.5295701
141	130.52605
142	129.789031
143	129.777269
144	129.0734039
145	129.0590336
146	129.0569827
147	129.0495603
148	126.7273799
149	124.4805572
150	122.3088209
151	120.2108312
152	120.2031595
153	118.175934
154	116.2175658
155	114.326316
156	113.5549826
157	113.5326544
158	113.511558
159	111.6727014
160	109.8977654
161	108.1848364
162	106.5324694
163	104.9388104
164	103.4024491
165	102.5921181
166	101.0995296
167	99.6611052
168	99.65725529
169	98.2714404
170	96.93675389
171	96.93304797
172	96.92955968
173	95.64442127
174	95.64109341
175	94.4042445
176	94.40106813
177	94.38426673
178	94.38126546
179	94.3784351
180	94.37576401
181	93.18537559
182	93.16430007
183	93.16175251
184	93.15933847
185	93.15706225
186	92.0117659
187	90.91054239
188	89.85204333
189	89.83762094
190	89.83340998
191	89.8151138
